# This is an input file for the UEDGE Python CRM
# Created from scratch by Stijn Kobussen
# May 2023

** SPECIES
* H(n=1)
    V 2.375
* H2+
    V 15.56
* H2(n=X1,v=0)
   V 0.19652
* H2(n=X1,v=1)
   V 0.56765
* H2(n=X1,v=2)
   V 0.92411
* H2(n=X1,v=3)
   V 1.2662
* H2(n=X1,v=4)
   V 1.59408
* H2(n=X1,v=5)
   V 1.9078
* H2(n=X1,v=6)
   V 2.20734
* H2(n=X1,v=7)
   V 2.49267
* H2(n=X1,v=8)
   V 2.76373
* H2(n=X1,v=9)
   V 3.02042
* H2(n=X1,v=10)
   V 3.26256
* H2(n=X1,v=11)
   V 3.48988
* H2(n=X1,v=12)
   V 3.70193
* H2(n=X1,v=13)
   V 3.8981
* H2(n=X1,v=14)
   V 4.07762
* H2(n=B1,v=0)
   V 11.4287
* H2(n=B1,v=1)
   V 11.54571
* H2(n=B1,v=2)
   V 11.6603
* H2(n=B1,v=3)
   V 11.77259
* H2(n=B1,v=4)
   V 11.88269
* H2(n=B1,v=5)
   V 11.99067
* H2(n=B1,v=6)
   V 12.09655
* H2(n=B1,v=7)
   V 12.20037
* H2(n=B1,v=8)
   V 12.30215
* H2(n=B1,v=9)
   V 12.40192
* H2(n=B1,v=10)
   V 12.49971
* H2(n=B1,v=11)
   V 12.59552
* H2(n=B1,v=12)
   V 12.68939
* H2(n=B1,v=13)
   V 12.78133
* H2(n=B1,v=14)
   V 12.87136
* H2(n=C1,v=0)
   V 12.519
* H2(n=C1,v=1)
   V 12.725
* H2(n=C1,v=2)
   V 12.92258
* H2(n=C1,v=3)
   V 13.11189
* H2(n=C1,v=4)
   V 13.29304
* H2(n=C1,v=5)
   V 13.46611
* H2(n=C1,v=6)
   V 13.63116
* H2(n=C1,v=7)
   V 13.78818
* H2(n=C1,v=8)
   V 13.93715
* H2(n=C1,v=9)
   V 14.07799
* H2(n=C1,v=10)
   V 14.21058
* H2(n=C1,v=11)
   V 14.3347
* H2(n=C1,v=12)
   V 14.45009
* H2(n=C1,v=13)
   V 14.55637
* H2(n=C1,v=14)
   V 14.37598


** BACKGROUND
* e
    V 0
* p
    V 15.975


** REACTIONS

* H2VIBR H.2 2.$t&
e + H2(n=X1,v=$) > e + H2(n=X1,v=&)

* H2VIBR H.2 2.$l1
e + H2(n=X1,v=$) > e + 2*H(n=1)

* H2VIBR H.2 2.$l2
e + H2(n=X1,v=$) > e + H2+

* H2VIBR H.2 3.$t&
e + H2(n=B1,v=$) > e + H2(n=B1,v=&)

* H2VIBR H.2 1.$u&
e + H2(n=X1,v=$) > e + H2(n=B1,v=&)

* H2VIBR H.2 1.$d&
e + H2(n=B1,v=$) > e + H2(n=X1,v=&)

* H2VIBR H.2 2.$b1
e + H2(n=B1,v=$) > e + H2+

* H2VIBR H.2 3.$u&
e + H2(n=X1,v=$) > e + H2(n=C1,v=&)

* H2VIBR H.2 3.$d&
e + H2(n=C1,v=$) > e + H2(n=X1,v=&)

* H2VIBR H.2 8.$u&
e + H2(n=B1,v=$) > e + H2(n=C1,v=&)

* H2VIBR H.2 8.$d&
e + H2(n=C1,v=$) > e + H2(n=B1,v=&)

* H2VIBR H.2 2.$c2
e + H2(n=C1,v=$) > e + H2+

* USER COEFFICIENT B1Su_X1Sg0to0
H2(n=B1,v=0) > H2(n=X1,v=0)
1055300.0

* USER COEFFICIENT B1Su_X1Sg0to1
H2(n=B1,v=0) > H2(n=X1,v=1)
10084000.0

* USER COEFFICIENT B1Su_X1Sg0to2
H2(n=B1,v=0) > H2(n=X1,v=2)
45004000.0

* USER COEFFICIENT B1Su_X1Sg0to3
H2(n=B1,v=0) > H2(n=X1,v=3)
124880000.0

* USER COEFFICIENT B1Su_X1Sg0to4
H2(n=B1,v=0) > H2(n=X1,v=4)
240960000.0

* USER COEFFICIENT B1Su_X1Sg0to5
H2(n=B1,v=0) > H2(n=X1,v=5)
342410000.0

* USER COEFFICIENT B1Su_X1Sg0to6
H2(n=B1,v=0) > H2(n=X1,v=6)
369170000.0

* USER COEFFICIENT B1Su_X1Sg0to7
